PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
203932,Aaron Gordon,DEN,2020-21,50,27.7,12.4,5.7,3.2,0.7,0.7,1.9,0.463,0.651,0.335,1.2,3.5,4.6,10.0,1.9,3.0,0.547,0.204
1628988,Aaron Holiday,IND,2020-21,66,17.8,7.2,1.3,1.9,0.7,0.2,1.0,0.39,0.819,0.368,1.0,2.8,2.6,6.6,1.0,1.3,0.503,0.189
201143,Al Horford,BOS,2020-21,28,27.9,14.2,6.7,3.4,0.9,0.9,1.0,0.45,0.818,0.368,2.0,5.4,5.8,12.9,0.6,0.8,0.538,0.221
202329,Al-Farouq Aminu,CHI,2020-21,23,18.9,4.4,4.8,1.3,0.8,0.4,1.2,0.384,0.818,0.216,0.3,1.6,1.7,4.3,0.8,1.0,0.469,0.138
202692,Alec Burks,NYK,2020-21,49,25.6,12.7,4.6,2.2,0.6,0.3,1.0,0.42,0.856,0.415,2.1,5.0,4.3,10.2,2.1,2.4,0.564,0.208
1630197,Aleksej Pokusevski,OKC,2020-21,45,24.2,8.2,4.7,2.2,0.4,0.9,2.2,0.341,0.738,0.28,1.3,4.6,3.1,9.1,0.7,0.9,0.43,0.197
1627936,Alex Caruso,LAL,2020-21,58,21.0,6.4,2.9,2.8,1.1,0.3,1.3,0.436,0.645,0.401,0.9,2.4,2.3,5.3,0.8,1.3,0.547,0.144
203458,Alex Len,WAS,2020-21,64,15.3,6.6,4.1,0.8,0.3,1.0,0.9,0.615,0.629,0.32,0.1,0.4,2.7,4.3,1.1,1.8,0.643,0.161
203083,Andre Drummond,LAL,2020-21,46,27.0,14.9,12.0,2.0,1.4,1.1,2.7,0.493,0.6,0.0,0.0,0.2,6.1,12.4,2.7,4.5,0.519,0.269
2738,Andre Iguodala,MIA,2020-21,63,21.3,4.4,3.5,2.3,0.9,0.6,1.1,0.383,0.658,0.33,1.0,2.9,1.5,3.9,0.4,0.6,0.519,0.109
203952,Andrew Wiggins,GSW,2020-21,71,33.3,18.6,4.9,2.4,0.9,1.0,1.8,0.477,0.714,0.38,2.0,5.2,7.1,14.9,2.4,3.4,0.568,0.229
1629014,Anfernee Simons,POR,2020-21,64,17.3,7.8,2.2,1.4,0.3,0.1,0.7,0.419,0.807,0.426,1.9,4.4,2.6,6.3,0.7,0.9,0.589,0.18
203076,Anthony Davis,LAL,2020-21,36,32.3,21.8,7.9,3.1,1.3,1.6,2.1,0.491,0.738,0.26,0.7,2.8,8.4,17.0,4.4,5.9,0.556,0.287
1630162,Anthony Edwards,MIN,2020-21,72,32.1,19.3,4.7,2.9,1.1,0.5,2.2,0.417,0.776,0.329,2.4,7.2,7.0,16.8,2.9,3.8,0.523,0.264
1630237,Anthony Lamb,HOU,2020-21,24,17.3,5.5,2.9,1.0,0.3,0.2,0.8,0.39,0.857,0.324,1.0,3.0,1.9,4.9,0.8,0.9,0.523,0.144
1629717,Armoni Brooks,HOU,2020-21,20,26.0,11.2,3.4,1.5,0.6,0.3,1.1,0.406,0.583,0.382,3.0,7.9,3.9,9.6,0.4,0.6,0.565,0.175
203382,Aron Baynes,TOR,2020-21,53,18.5,6.1,5.2,0.9,0.3,0.4,0.9,0.441,0.707,0.262,0.5,1.9,2.5,5.7,0.5,0.8,0.503,0.157
203085,Austin Rivers,DEN,2020-21,36,23.5,7.9,2.3,2.3,0.8,0.1,1.0,0.424,0.71,0.369,1.5,4.1,2.9,6.8,0.6,0.9,0.551,0.15
202340,Avery Bradley,HOU,2020-21,27,22.3,6.4,2.1,1.7,0.8,0.1,1.0,0.374,0.8,0.327,1.2,3.7,2.4,6.3,0.4,0.6,0.487,0.146
1628389,Bam Adebayo,MIA,2020-21,64,33.5,18.7,9.0,5.4,1.2,1.0,2.6,0.57,0.799,0.25,0.0,0.1,7.1,12.5,4.4,5.5,0.626,0.233
203463,Ben McLemore,LAL,2020-21,53,17.1,7.7,1.9,0.7,0.4,0.2,0.8,0.37,0.736,0.346,1.8,5.3,2.5,6.9,0.7,1.0,0.523,0.192
1627732,Ben Simmons,PHI,2020-21,58,32.4,14.3,7.2,6.9,1.6,0.6,3.0,0.557,0.613,0.3,0.1,0.2,5.6,10.1,3.0,4.9,0.584,0.2
202687,Bismack Biyombo,CHA,2020-21,66,20.4,5.0,5.3,1.2,0.3,1.1,1.1,0.587,0.448,0.0,0.0,0.0,2.2,3.7,0.7,1.6,0.574,0.113
201933,Blake Griffin,BKN,2020-21,46,25.8,11.0,4.9,3.0,0.7,0.3,1.3,0.423,0.744,0.341,1.5,4.5,3.8,8.9,1.9,2.5,0.546,0.191
1626171,Bobby Portis,MIL,2020-21,66,20.8,11.4,7.1,1.1,0.8,0.4,0.8,0.523,0.74,0.471,1.1,2.4,4.7,9.1,0.8,1.1,0.598,0.202
203992,Bogdan Bogdanović,ATL,2020-21,44,29.7,16.4,3.6,3.3,1.1,0.3,1.2,0.473,0.909,0.438,3.3,7.6,6.1,12.8,0.9,1.0,0.616,0.21
202711,Bojan Bogdanović,UTA,2020-21,72,30.8,17.0,3.9,1.9,0.6,0.1,1.8,0.439,0.879,0.39,2.5,6.4,5.6,12.8,3.2,3.7,0.588,0.225
202954,Brad Wanamaker,CHA,2020-21,61,17.3,5.5,1.7,2.9,0.7,0.2,1.2,0.385,0.891,0.188,0.3,1.4,1.9,4.9,1.5,1.7,0.489,0.166
203078,Bradley Beal,WAS,2020-21,60,35.8,31.3,4.7,4.4,1.2,0.4,3.1,0.485,0.889,0.349,2.2,6.2,11.2,23.0,6.8,7.7,0.593,0.331
1629634,Brandon Clarke,MEM,2020-21,59,24.0,10.3,5.6,1.6,1.0,0.9,0.6,0.517,0.69,0.26,0.3,1.3,4.3,8.4,1.3,1.9,0.56,0.167
1627742,Brandon Ingram,NOP,2020-21,61,34.3,23.8,4.9,4.9,0.7,0.6,2.5,0.466,0.878,0.381,2.3,6.1,8.4,18.0,4.6,5.2,0.584,0.279
201572,Brook Lopez,MIL,2020-21,70,27.2,12.3,5.0,0.7,0.6,1.5,0.9,0.503,0.845,0.338,1.4,4.0,4.6,9.1,1.7,2.0,0.611,0.166
1628971,Bruce Brown,BKN,2020-21,65,22.3,8.8,5.4,1.6,0.9,0.4,0.8,0.556,0.735,0.288,0.3,0.9,3.6,6.5,1.3,1.8,0.604,0.157
1627854,Bryn Forbes,MIL,2020-21,70,19.3,10.0,1.6,0.6,0.3,0.0,0.6,0.473,0.77,0.452,2.2,4.9,3.6,7.6,0.7,0.9,0.631,0.18
1627741,Buddy Hield,SAC,2020-21,71,34.3,16.6,4.7,3.6,0.9,0.4,1.8,0.406,0.846,0.391,4.0,10.2,5.7,14.0,1.2,1.5,0.567,0.201
203468,CJ McCollum,POR,2020-21,47,34.0,23.1,3.9,4.7,0.9,0.4,1.4,0.458,0.812,0.402,3.6,8.9,8.6,18.8,2.3,2.8,0.577,0.265
1628997,Caleb Martin,CHA,2020-21,53,15.4,5.0,2.7,1.3,0.7,0.2,0.6,0.375,0.641,0.248,0.6,2.4,1.8,4.8,0.8,1.2,0.465,0.164
1629629,Cam Reddish,ATL,2020-21,26,28.9,11.2,4.0,1.3,1.3,0.3,1.3,0.365,0.817,0.262,1.3,4.8,3.7,10.1,2.6,3.2,0.488,0.183
1629661,Cameron Johnson,PHX,2020-21,60,24.0,9.6,3.3,1.4,0.6,0.3,0.7,0.42,0.847,0.349,2.0,5.6,3.4,8.1,0.8,1.0,0.563,0.164
1626166,Cameron Payne,PHX,2020-21,60,18.0,8.4,2.4,3.6,0.6,0.3,1.0,0.484,0.893,0.44,1.2,2.8,3.2,6.6,0.8,0.9,0.602,0.193
1627747,Caris LeVert,IND,2020-21,47,31.6,20.2,4.6,5.2,1.4,0.6,2.2,0.441,0.811,0.326,1.8,5.5,7.6,17.3,3.1,3.8,0.531,0.279
2546,Carmelo Anthony,POR,2020-21,69,24.5,13.4,3.1,1.5,0.7,0.6,0.9,0.421,0.89,0.409,1.9,4.7,4.7,11.3,2.0,2.2,0.547,0.228
1626224,Cedi Osman,CLE,2020-21,59,25.6,10.4,3.4,2.9,0.9,0.2,1.4,0.374,0.8,0.306,1.7,5.5,3.7,9.9,1.3,1.6,0.488,0.198
1626184,Chasson Randle,ORL,2020-21,41,20.4,6.5,2.0,1.8,0.5,0.1,1.1,0.388,0.792,0.338,1.1,3.2,2.2,5.8,0.9,1.2,0.515,0.154
1628449,Chris Boucher,TOR,2020-21,60,24.2,13.6,6.7,1.1,0.6,1.9,0.8,0.514,0.788,0.383,1.5,3.9,4.8,9.3,2.5,3.2,0.634,0.202
101108,Chris Paul,PHX,2020-21,70,31.4,16.4,4.5,8.9,1.4,0.3,2.2,0.499,0.934,0.395,1.5,3.7,6.3,12.6,2.4,2.6,0.599,0.221
1626174,Christian Wood,HOU,2020-21,41,32.3,21.0,9.6,1.7,0.8,1.2,2.0,0.514,0.631,0.374,1.9,5.0,8.0,15.6,3.0,4.8,0.591,0.255
1629643,Chuma Okeke,ORL,2020-21,45,25.2,7.8,4.0,2.2,1.1,0.5,0.8,0.417,0.75,0.348,1.1,3.1,3.0,7.2,0.7,0.9,0.511,0.142
203991,Clint Capela,ATL,2020-21,63,30.1,15.2,14.3,0.8,0.7,2.0,1.2,0.594,0.573,0.0,0.0,0.0,6.6,11.0,2.1,3.6,0.601,0.193
