PlayerName,Turnovers,Turnovers_ZScore,Turnovers_Rank
James Harden,5.0,3.8987530190547064,1
Russell Westbrook,4.5,3.2751591706539442,2
Devin Booker,4.1,2.776284091933334,3
Trae Young,3.8,2.402127782892877,4
John Wall,3.8,2.402127782892877,4
Giannis Antetokounmpo,3.7,2.2774090132127247,6
LeBron James,3.6,2.152690243532572,7
Joel Embiid,3.5,2.0279714738524195,8
Ben Simmons,3.5,2.0279714738524195,8
Zach LaVine,3.4,1.903252704172267,10
Blake Griffin,3.4,1.903252704172267,10
Luka Dončić,3.4,1.903252704172267,10
Jrue Holiday,3.1,1.5290963951318097,13
Karl-Anthony Towns,3.1,1.5290963951318097,13
D'Angelo Russell,3.1,1.5290963951318097,13
Nikola Jokić,3.1,1.5290963951318097,13
Kevin Durant,2.9,1.2796588557715047,17
Dennis Smith Jr.,2.9,1.2796588557715047,17
Donovan Mitchell,2.8,1.1549400860913521,19
Kyle Lowry,2.8,1.1549400860913521,19
Rajon Rondo,2.8,1.1549400860913521,19
Julius Randle,2.8,1.1549400860913521,19
Stephen Curry,2.8,1.1549400860913521,19
De'Aaron Fox,2.8,1.1549400860913521,19
Bradley Beal,2.7,1.0302213164112002,25
Elfrid Payton,2.7,1.0302213164112002,25
Paul George,2.7,1.0302213164112002,25
Damian Lillard,2.7,1.0302213164112002,25
Kemba Walker,2.6,0.9055025467310475,29
Ricky Rubio,2.6,0.9055025467310475,29
DeMar DeRozan,2.6,0.9055025467310475,29
Chris Paul,2.6,0.9055025467310475,29
Kyrie Irving,2.6,0.9055025467310475,29
Draymond Green,2.6,0.9055025467310475,29
Brandon Ingram,2.5,0.780783777050895,35
DeMarcus Cousins,2.4,0.6560650073707424,36
Jabari Parker,2.4,0.6560650073707424,36
Joe Ingles,2.4,0.6560650073707424,36
Emmanuel Mudiay,2.4,0.6560650073707424,36
Lou Williams,2.4,0.6560650073707424,36
Jusuf Nurkić,2.3,0.5313462376905898,41
Collin Sexton,2.3,0.5313462376905898,41
Jeff Teague,2.3,0.5313462376905898,41
Khris Middleton,2.3,0.5313462376905898,41
Kris Dunn,2.3,0.5313462376905898,41
Dwyane Wade,2.3,0.5313462376905898,41
Victor Oladipo,2.3,0.5313462376905898,41
Justise Winslow,2.2,0.40662746801043775,48
Spencer Dinwiddie,2.2,0.40662746801043775,48
Dennis Schröder,2.2,0.40662746801043775,48
Andre Drummond,2.2,0.40662746801043775,48
Lonzo Ball,2.2,0.40662746801043775,48
DeAndre Jordan,2.2,0.40662746801043775,48
Josh Jackson,2.2,0.40662746801043775,48
Jamal Murray,2.1,0.2819086983302852,55
Aaron Gordon,2.1,0.2819086983302852,55
Eric Bledsoe,2.1,0.2819086983302852,55
John Collins,2.0,0.1571899286501326,58
Nikola Vučević,2.0,0.1571899286501326,58
Marc Gasol,2.0,0.1571899286501326,58
Goran Dragic,2.0,0.1571899286501326,58
Anthony Davis,2.0,0.1571899286501326,58
Kawhi Leonard,2.0,0.1571899286501326,58
Evan Fournier,1.9,0.03247115896998003,64
Mike Conley,1.9,0.03247115896998003,64
Pascal Siakam,1.9,0.03247115896998003,64
Andrew Wiggins,1.9,0.03247115896998003,64
Kyle Kuzma,1.9,0.03247115896998003,64
Kevin Love,1.9,0.03247115896998003,64
Buddy Hield,1.8,-0.09224761071017228,70
Taurean Prince,1.8,-0.09224761071017228,70
Reggie Jackson,1.8,-0.09224761071017228,70
Deandre Ayton,1.8,-0.09224761071017228,70
LaMarcus Aldridge,1.8,-0.09224761071017228,70
Tobias Harris,1.8,-0.09224761071017228,70
Jordan Clarkson,1.7,-0.21696638039032484,76
Shai Gilgeous-Alexander,1.7,-0.21696638039032484,76
Bojan Bogdanović,1.7,-0.21696638039032484,76
Bogdan Bogdanović,1.7,-0.21696638039032484,76
Caris LeVert,1.7,-0.21696638039032484,76
Rudy Gay,1.7,-0.21696638039032484,76
Steven Adams,1.7,-0.21696638039032484,76
Jaren Jackson Jr.,1.7,-0.21696638039032484,76
Joe Harris,1.6,-0.3416851500704772,84
Darren Collison,1.6,-0.3416851500704772,84
Derrick Rose,1.6,-0.3416851500704772,84
Nicolas Batum,1.6,-0.3416851500704772,84
Marvin Bagley III,1.6,-0.3416851500704772,84
Rudy Gobert,1.6,-0.3416851500704772,84
Montrezl Harrell,1.6,-0.3416851500704772,84
Tim Hardaway Jr.,1.6,-0.3416851500704772,84
D.J. Augustin,1.6,-0.3416851500704772,84
Lauri Markkanen,1.6,-0.3416851500704772,84
