PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Clint Capela,14.3,3.5722518379473476,1
Rudy Gobert,13.5,3.2498523241736836,2
Jonas Valančiūnas,12.5,2.846852931956605,3
Domantas Sabonis,12.0,2.645353235848065,4
Andre Drummond,12.0,2.645353235848065,4
Nikola Vučević,11.7,2.524453418182941,6
Russell Westbrook,11.5,2.4438535397395253,7
Giannis Antetokounmpo,11.0,2.242353843630986,8
Nikola Jokić,10.8,2.1617539651875703,9
Joel Embiid,10.6,2.081154086744154,10
Karl-Anthony Towns,10.6,2.081154086744154,10
Deandre Ayton,10.5,2.040854147522446,12
Julius Randle,10.2,1.919954329857322,13
Jarrett Allen,10.0,1.8393544514139064,14
Christian Wood,9.6,1.6781546945270744,15
Mason Plumlee,9.3,1.5572548768619512,16
Bam Adebayo,9.0,1.436355059196827,17
Steven Adams,8.9,1.3960551199751192,18
Kristaps Porziņģis,8.9,1.3960551199751192,18
Richaun Holmes,8.3,1.1542554846448718,20
Wendell Carter Jr.,8.2,1.1139555454231633,21
Mitchell Robinson,8.1,1.0736556062014555,22
Josh Hart,8.0,1.0333556669797477,23
Luka Dončić,8.0,1.0333556669797477,23
James Harden,7.9,0.99305572775804,25
Jakob Poeltl,7.9,0.99305572775804,25
Anthony Davis,7.9,0.99305572775804,25
LeBron James,7.7,0.912455849314624,28
John Collins,7.4,0.7915560316495003,29
Marvin Bagley III,7.4,0.7915560316495003,29
Jayson Tatum,7.4,0.7915560316495003,29
Michael Porter Jr.,7.3,0.7512560924277921,32
Pascal Siakam,7.2,0.7109561532060843,33
Zion Williamson,7.2,0.7109561532060843,33
Ben Simmons,7.2,0.7109561532060843,33
Darius Bazley,7.2,0.7109561532060843,33
Draymond Green,7.1,0.6706562139843761,37
Dejounte Murray,7.1,0.6706562139843761,37
Kevin Durant,7.1,0.6706562139843761,37
Kelly Olynyk,7.0,0.6303562747626683,40
Jimmy Butler III,6.9,0.5900563355409606,41
Royce O'Neale,6.8,0.5497563963192524,42
Tobias Harris,6.8,0.5497563963192524,42
Robert Covington,6.7,0.5094564570975446,44
Al Horford,6.7,0.5094564570975446,44
Larry Nance Jr.,6.7,0.5094564570975446,44
Paul George,6.6,0.46915651787583645,47
Harrison Barnes,6.6,0.46915651787583645,47
P.J. Washington,6.5,0.4288565786541287,49
Myles Turner,6.5,0.4288565786541287,49
Kawhi Leonard,6.5,0.4288565786541287,49
Kyle Kuzma,6.1,0.26765682176729677,52
Jaylen Brown,6.0,0.227356882545589,53
Keldon Johnson,6.0,0.227356882545589,53
Khris Middleton,6.0,0.227356882545589,53
Miles Bridges,6.0,0.227356882545589,53
Kelly Oubre Jr.,6.0,0.227356882545589,53
LaMelo Ball,5.9,0.1870569433238812,58
Gordon Hayward,5.9,0.1870569433238812,58
Donte DiVincenzo,5.8,0.14675700410217304,60
RJ Barrett,5.8,0.14675700410217304,60
Kyle Anderson,5.7,0.10645706488046525,62
Aaron Gordon,5.7,0.10645706488046525,62
Rui Hachimura,5.5,0.025857186437049307,64
OG Anunoby,5.5,0.025857186437049307,64
Stephen Curry,5.5,0.025857186437049307,64
Kyle Lowry,5.4,-0.014442752784658485,67
Dorian Finney-Smith,5.4,-0.014442752784658485,67
Lauri Markkanen,5.3,-0.05474269200636664,69
Jae'Sean Tate,5.3,-0.05474269200636664,69
Malcolm Brogdon,5.3,-0.05474269200636664,69
Maxi Kleber,5.2,-0.09504263122807442,72
Zach LaVine,5.0,-0.17564250967149037,73
Brook Lopez,5.0,-0.17564250967149037,73
Tyler Herro,5.0,-0.17564250967149037,73
Brandon Ingram,4.9,-0.21594244889319816,76
Blake Griffin,4.9,-0.21594244889319816,76
Andrew Wiggins,4.9,-0.21594244889319816,76
