PlayerName,Assists,Assists_ZScore,Assists_Rank
Chris Paul,10.8,3.3370589178585064,1
James Harden,10.3,3.101739115054515,2
Trae Young,9.7,2.8193553516897247,3
Dejounte Murray,9.2,2.5840355488857334,4
Luka Dončić,8.7,2.348715746081742,5
Darius Garland,8.6,2.301651785520944,6
Tyrese Haliburton,8.2,2.1133959432777507,7
Nikola Jokić,7.9,1.9722040615953564,8
LaMelo Ball,7.6,1.8310121799129613,9
Kyle Lowry,7.5,1.7839482193521632,10
Damian Lillard,7.3,1.6898202982305666,11
Russell Westbrook,7.1,1.59569237710897,12
D'Angelo Russell,7.1,1.59569237710897,12
Draymond Green,7.0,1.5486284165481718,14
Jrue Holiday,6.8,1.454500495426575,15
Ja Morant,6.7,1.407436534865777,16
Fred VanVleet,6.7,1.407436534865777,16
Ricky Rubio,6.6,1.3603725743049784,18
Bradley Beal,6.6,1.3603725743049784,18
Josh Giddey,6.4,1.2662446531833822,20
Kevin Durant,6.4,1.2662446531833822,20
Stephen Curry,6.3,1.2191806926225837,22
LeBron James,6.2,1.1721167320617856,23
Kevin Porter Jr.,6.2,1.1721167320617856,23
Marcus Smart,5.9,1.0309248503793909,25
Shai Gilgeous-Alexander,5.9,1.0309248503793909,25
Malcolm Brogdon,5.9,1.0309248503793909,25
Giannis Antetokounmpo,5.8,0.9838608898185923,28
Kyrie Irving,5.8,0.9838608898185923,28
Cole Anthony,5.7,0.9367969292577942,30
Paul George,5.7,0.9367969292577942,30
Brandon Ingram,5.6,0.8897329686969957,32
Cade Cunningham,5.6,0.8897329686969957,32
De'Aaron Fox,5.6,0.8897329686969957,32
Jimmy Butler III,5.5,0.8426690081361976,35
Khris Middleton,5.4,0.7956050475753995,36
Donovan Mitchell,5.3,0.748541087014601,37
Pascal Siakam,5.3,0.748541087014601,37
Mike Conley,5.3,0.748541087014601,37
Domantas Sabonis,5.2,0.7014771264538029,40
Spencer Dinwiddie,5.2,0.7014771264538029,40
