PlayerName,FieldGoalPct,FieldGoalPct_ZScore,FieldGoalPct_Rank
Nic Claxton,0.705,3.5574610639374837,1
Mason Plumlee,0.68,3.15951382308432,2
Mitchell Robinson,0.671,3.0162528163771802,3
Rudy Gobert,0.659,2.8252381407676603,4
Clint Capela,0.653,2.7297308029629006,5
Jarrett Allen,0.644,2.586469796255761,6
Ivica Zubac,0.634,2.427290899914495,7
Nikola Jokić,0.632,2.3954551206462416,8
Jakob Poeltl,0.629,2.3477014517438617,9
Domantas Sabonis,0.615,2.124850996866089,10
Zion Williamson,0.608,2.0134257694272026,11
Steven Adams,0.597,1.8383289834518097,12
Deandre Ayton,0.589,1.7109858663787967,13
KJ Martin,0.569,1.3926280736962642,14
Ben Simmons,0.566,1.3448744047938843,15
Aaron Gordon,0.564,1.3130386255256312,16
Anthony Davis,0.563,1.2971207358915045,17
Kevin Durant,0.56,1.2493670669891264,18
Evan Mobley,0.554,1.1538597291843666,19
Giannis Antetokounmpo,0.553,1.13794183955024,20
Alperen Sengun,0.553,1.13794183955024,20
Joel Embiid,0.548,1.058352391379607,22
Myles Turner,0.548,1.058352391379607,22
Bam Adebayo,0.54,0.931009274306594,24
Jimmy Butler III,0.539,0.9150913846724673,25
Josh Green,0.537,0.883255605404214,26
Kris Dunn,0.537,0.883255605404214,26
Brook Lopez,0.531,0.7877482675994543,28
Austin Reaves,0.529,0.7559124883312011,29
Josh Hart,0.529,0.7559124883312011,29
Draymond Green,0.527,0.7240767090629477,31
Wendell Carter Jr.,0.525,0.6922409297946945,32
Jalen Williams,0.521,0.628569371258188,33
Nikola Vučević,0.52,0.6126514816240615,34
Jusuf Nurkić,0.519,0.5967335919899348,35
Jaden McDaniels,0.517,0.5648978127216815,36
Christian Wood,0.515,0.5330620334534283,37
Markelle Fultz,0.514,0.5171441438193016,38
De'Aaron Fox,0.512,0.4853083645510484,39
Kawhi Leonard,0.512,0.4853083645510484,39
Shai Gilgeous-Alexander,0.51,0.45347258528279516,41
Kyle Anderson,0.509,0.43755469564866856,42
John Collins,0.508,0.4216368060145419,43
Jaren Jackson Jr.,0.506,0.3898010267462887,44
Bradley Beal,0.506,0.3898010267462887,44
DeMar DeRozan,0.504,0.35796524747803543,46
Tobias Harris,0.501,0.31021157857565557,47
LeBron James,0.5,0.2942936889415289,48
Kelly Olynyk,0.499,0.2783757993074023,49
Lauri Markkanen,0.499,0.2783757993074023,49
Kristaps Porziņģis,0.498,0.26245790967327565,51
Corey Kispert,0.497,0.24654002003914904,52
Bobby Portis,0.496,0.2306221304050224,53
Luka Dončić,0.496,0.2306221304050224,53
Karl-Anthony Towns,0.495,0.21470424077089578,55
Devin Booker,0.494,0.19878635113676915,56
Kyrie Irving,0.494,0.19878635113676915,56
Ayo Dosunmu,0.493,0.18286846150264255,58
Stephen Curry,0.493,0.18286846150264255,58
Jaylen Brown,0.491,0.1510326822343893,60
Jalen Brunson,0.491,0.1510326822343893,60
Tyrese Haliburton,0.49,0.13511479260026266,62
Bojan Bogdanović,0.488,0.10327901333200941,63
Michael Porter Jr.,0.487,0.08736112369788279,64
Zach LaVine,0.485,0.05552534442962954,65
Franz Wagner,0.485,0.05552534442962954,65
Kevin Huerter,0.485,0.05552534442962954,65
Malcolm Brogdon,0.484,0.039607454795502914,68
Donovan Mitchell,0.484,0.039607454795502914,68
Brandon Ingram,0.484,0.039607454795502914,68
Trey Murphy III,0.484,0.039607454795502914,68
Bruce Brown,0.483,0.023689565161376287,72
Josh Giddey,0.482,0.007771675527249663,73
Tyrese Maxey,0.481,-0.008146214106876963,74
Monté Morris,0.48,-0.024064103741003588,75
Pascal Siakam,0.48,-0.024064103741003588,75
Desmond Bane,0.479,-0.03998199337513021,77
Jrue Holiday,0.479,-0.03998199337513021,77
Norman Powell,0.479,-0.03998199337513021,77
Al Horford,0.476,-0.08773566227751009,80
OG Anunoby,0.476,-0.08773566227751009,80
Jerami Grant,0.475,-0.10365355191163671,82
Gordon Hayward,0.475,-0.10365355191163671,82
Andrew Wiggins,0.473,-0.13548933117988995,84
Harrison Barnes,0.473,-0.13548933117988995,84
Cameron Johnson,0.47,-0.18324300008226985,86
Herbert Jones,0.469,-0.19916088971639645,87
D'Angelo Russell,0.469,-0.19916088971639645,87
Quentin Grimes,0.468,-0.2150787793505222,89
Mikal Bridges,0.468,-0.2150787793505222,89
Jayson Tatum,0.466,-0.24691455861877545,91
Ja Morant,0.466,-0.24691455861877545,91
Patrick Williams,0.464,-0.2787503378870287,93
Caleb Martin,0.464,-0.2787503378870287,93
Dejounte Murray,0.464,-0.2787503378870287,93
Damian Lillard,0.463,-0.29466822752115535,96
Darius Garland,0.462,-0.31058611715528195,97
Derrick White,0.462,-0.31058611715528195,97
Kentavious Caldwell-Pope,0.462,-0.31058611715528195,97
De'Andre Hunter,0.461,-0.3265040067894086,100
Julius Randle,0.459,-0.3583397860576618,101
