PlayerName,Blocks,Blocks_ZScore,Blocks_Rank
Victor Wembanyama,3.6,5.914634572977092,1
Brook Lopez,2.4,3.5295752095866693,2
Chet Holmgren,2.3,3.330820262637467,3
Anthony Davis,2.3,3.330820262637467,3
Nic Claxton,2.1,2.933310368739064,5
Rudy Gobert,2.1,2.933310368739064,5
Kristaps Porziņģis,1.9,2.5358004748406597,7
Myles Turner,1.9,2.5358004748406597,7
Joel Embiid,1.7,2.1382905809422565,9
Jaren Jackson Jr.,1.6,1.9395356339930547,10
Scottie Barnes,1.5,1.7407806870438527,11
Jakob Poeltl,1.5,1.7407806870438527,11
Clint Capela,1.5,1.7407806870438527,11
Evan Mobley,1.4,1.5420257400946504,14
Derrick White,1.2,1.1445158461962468,15
Ivica Zubac,1.2,1.1445158461962468,15
Kevin Durant,1.2,1.1445158461962468,15
Giannis Antetokounmpo,1.1,0.9457608992470452,18
Isaiah Hartenstein,1.1,0.9457608992470452,18
Onyeka Okongwu,1.1,0.9457608992470452,18
Jarrett Allen,1.1,0.9457608992470452,18
Nick Richards,1.1,0.9457608992470452,18
Jusuf Nurkić,1.1,0.9457608992470452,18
Al Horford,1.0,0.7470059522978432,24
Alex Caruso,1.0,0.7470059522978432,24
Kawhi Leonard,0.9,0.5482510053486414,26
Shai Gilgeous-Alexander,0.9,0.5482510053486414,26
Ausar Thompson,0.9,0.5482510053486414,26
Santi Aldama,0.9,0.5482510053486414,26
Bam Adebayo,0.9,0.5482510053486414,26
John Collins,0.9,0.5482510053486414,26
Draymond Green,0.9,0.5482510053486414,26
Nikola Jokić,0.9,0.5482510053486414,26
Jalen Duren,0.8,0.3494960583994395,34
Fred VanVleet,0.8,0.3494960583994395,34
Bilal Coulibaly,0.8,0.3494960583994395,34
Herbert Jones,0.8,0.3494960583994395,34
Jrue Holiday,0.8,0.3494960583994395,34
Patrick Williams,0.8,0.3494960583994395,34
Isaiah Stewart,0.8,0.3494960583994395,34
James Harden,0.8,0.3494960583994395,34
P.J. Washington,0.8,0.3494960583994395,34
Jalen Johnson,0.8,0.3494960583994395,34
Keegan Murray,0.8,0.3494960583994395,34
Deandre Ayton,0.8,0.3494960583994395,34
Nikola Vučević,0.8,0.3494960583994395,34
Jabari Smith Jr.,0.8,0.3494960583994395,34
Kelly Oubre Jr.,0.7,0.1507411114502374,48
Jamal Murray,0.7,0.1507411114502374,48
Vince Williams Jr.,0.7,0.1507411114502374,48
Tobias Harris,0.7,0.1507411114502374,48
Tyrese Haliburton,0.7,0.1507411114502374,48
Michael Porter Jr.,0.7,0.1507411114502374,48
Kyle Kuzma,0.7,0.1507411114502374,48
OG Anunoby,0.7,0.1507411114502374,48
Karl-Anthony Towns,0.7,0.1507411114502374,48
Zion Williamson,0.7,0.1507411114502374,48
Aaron Nesmith,0.7,0.1507411114502374,48
Alperen Sengun,0.7,0.1507411114502374,48
Aaron Gordon,0.6,-0.048013835498964416,60
Jalen Suggs,0.6,-0.048013835498964416,60
Jalen Williams,0.6,-0.048013835498964416,60
Dorian Finney-Smith,0.6,-0.048013835498964416,60
Brandon Ingram,0.6,-0.048013835498964416,60
Brandon Miller,0.6,-0.048013835498964416,60
Jayson Tatum,0.6,-0.048013835498964416,60
Nicolas Batum,0.6,-0.048013835498964416,60
DeMar DeRozan,0.6,-0.048013835498964416,60
CJ McCollum,0.6,-0.048013835498964416,60
Josh Giddey,0.6,-0.048013835498964416,60
Luguentz Dort,0.6,-0.048013835498964416,60
Cody Martin,0.6,-0.048013835498964416,60
Kentavious Caldwell-Pope,0.6,-0.048013835498964416,60
Jerami Grant,0.6,-0.048013835498964416,60
Jaden McDaniels,0.6,-0.048013835498964416,60
Paolo Banchero,0.6,-0.048013835498964416,60
Andrew Wiggins,0.6,-0.048013835498964416,60
Grayson Allen,0.6,-0.048013835498964416,60
Domantas Sabonis,0.6,-0.048013835498964416,60
Deni Avdija,0.5,-0.24676878244816625,80
Jonathan Kuminga,0.5,-0.24676878244816625,80
Tyrese Maxey,0.5,-0.24676878244816625,80
Miles Bridges,0.5,-0.24676878244816625,80
GG Jackson,0.5,-0.24676878244816625,80
Malik Monk,0.5,-0.24676878244816625,80
Jaden Ivey,0.5,-0.24676878244816625,80
Donovan Mitchell,0.5,-0.24676878244816625,80
LeBron James,0.5,-0.24676878244816625,80
Lauri Markkanen,0.5,-0.24676878244816625,80
Kyrie Irving,0.5,-0.24676878244816625,80
Caris LeVert,0.5,-0.24676878244816625,80
Wendell Carter Jr.,0.5,-0.24676878244816625,80
Caleb Martin,0.5,-0.24676878244816625,80
Buddy Hield,0.5,-0.24676878244816625,80
Luka Dončić,0.5,-0.24676878244816625,80
D'Angelo Russell,0.5,-0.24676878244816625,80
Grant Williams,0.5,-0.24676878244816625,80
Scotty Pippen Jr.,0.5,-0.24676878244816625,80
Ayo Dosunmu,0.5,-0.24676878244816625,80
Desmond Bane,0.5,-0.24676878244816625,80
Paul George,0.5,-0.24676878244816625,80
Jeremy Sochan,0.5,-0.24676878244816625,80
Isaac Okoro,0.5,-0.24676878244816625,80
Anthony Edwards,0.5,-0.24676878244816625,80
Bradley Beal,0.5,-0.24676878244816625,80
Trey Murphy III,0.5,-0.24676878244816625,80
Jaylen Brown,0.5,-0.24676878244816625,80
Klay Thompson,0.5,-0.24676878244816625,80
Stephen Curry,0.4,-0.4455237293973681,109
Cade Cunningham,0.4,-0.4455237293973681,109
Mikal Bridges,0.4,-0.4455237293973681,109
RJ Barrett,0.4,-0.4455237293973681,109
Taurean Prince,0.4,-0.4455237293973681,109
Rui Hachimura,0.4,-0.4455237293973681,109
Kyle Lowry,0.4,-0.4455237293973681,109
Shaedon Sharpe,0.4,-0.4455237293973681,109
Max Strus,0.4,-0.4455237293973681,109
Donte DiVincenzo,0.4,-0.4455237293973681,109
De'Anthony Melton,0.4,-0.4455237293973681,109
Eric Gordon,0.4,-0.4455237293973681,109
Franz Wagner,0.4,-0.4455237293973681,109
De'Aaron Fox,0.4,-0.4455237293973681,109
Devin Booker,0.4,-0.4455237293973681,109
