PlayerName,ThreePointPct,ThreePointPct_ZScore,ThreePointPct_Rank
Grayson Allen,0.461,1.3110079292423862,1
Luke Kennard,0.45,1.1806329216007287,2
Mike Conley,0.442,1.0858147342249778,3
Norman Powell,0.435,1.0028488202711958,4
Bradley Beal,0.43,0.9435874531613515,5
Jrue Holiday,0.429,0.9317351797393827,6
CJ McCollum,0.429,0.9317351797393827,6
Jalen Williams,0.427,0.908030632895445,8
Jamal Murray,0.425,0.8843260860515072,9
Rui Hachimura,0.422,0.8487692657856006,10
Al Horford,0.419,0.8132124455196941,11
Aaron Nesmith,0.419,0.8132124455196941,11
Herbert Jones,0.418,0.8013601720977251,13
Scotty Pippen Jr.,0.417,0.7895078986757563,14
Kawhi Leonard,0.417,0.7895078986757563,14
Karl-Anthony Towns,0.416,0.7776556252537874,16
D'Angelo Russell,0.415,0.7658033518318186,17
Tyus Jones,0.414,0.7539510784098497,18
Jimmy Butler III,0.414,0.7539510784098497,18
Paul George,0.413,0.7420988049878808,20
Kevin Durant,0.413,0.7420988049878808,20
Malik Beasley,0.413,0.7420988049878808,20
Malcolm Brogdon,0.412,0.730246531565912,23
Kyrie Irving,0.411,0.7183942581439431,24
LeBron James,0.41,0.7065419847219743,25
Stephen Curry,0.408,0.6828374378780365,26
Alex Caruso,0.408,0.6828374378780365,26
Kentavious Caldwell-Pope,0.406,0.6591328910340994,28
Ayo Dosunmu,0.403,0.6235760707681929,29
Jerami Grant,0.402,0.6117237973462241,30
Jalen Brunson,0.401,0.5998715239242551,31
Donte DiVincenzo,0.401,0.5998715239242551,31
Patrick Williams,0.399,0.5761669770803174,33
Lauri Markkanen,0.399,0.5761669770803174,33
Bojan Bogdanović,0.398,0.5643147036583486,35
Michael Porter Jr.,0.397,0.5524624302363798,36
Jalen Suggs,0.397,0.5524624302363798,36
Derrick White,0.396,0.5406101568144108,38
Tyler Herro,0.396,0.5406101568144108,38
Taurean Prince,0.396,0.5406101568144108,38
Duncan Robinson,0.395,0.528757883392442,41
Draymond Green,0.395,0.528757883392442,41
Nicolas Batum,0.395,0.528757883392442,41
Immanuel Quickley,0.395,0.528757883392442,41
Luguentz Dort,0.394,0.5169056099704731,45
Collin Sexton,0.394,0.5169056099704731,45
Gary Trent Jr.,0.393,0.5050533365485043,47
Kyle Lowry,0.392,0.4932010631265354,48
Isaac Okoro,0.391,0.4813487897045665,49
Cameron Johnson,0.391,0.4813487897045665,49
Joel Embiid,0.388,0.44579196943865995,51
Klay Thompson,0.387,0.4339396960166911,52
Fred VanVleet,0.387,0.4339396960166911,52
Harrison Barnes,0.387,0.4339396960166911,52
Buddy Hield,0.386,0.4220874225947222,55
Josh Green,0.385,0.4102351491727534,56
Brandin Podziemski,0.385,0.4102351491727534,56
Anfernee Simons,0.385,0.4102351491727534,56
De'Andre Hunter,0.385,0.4102351491727534,56
Isaiah Stewart,0.383,0.38653060232881564,60
Corey Kispert,0.383,0.38653060232881564,60
OG Anunoby,0.382,0.37467832890684677,62
Luka Dončić,0.382,0.37467832890684677,62
James Harden,0.381,0.3628260554848779,64
Khris Middleton,0.381,0.3628260554848779,64
Desmond Bane,0.381,0.3628260554848779,64
Trey Murphy III,0.38,0.3509737820629091,67
Domantas Sabonis,0.379,0.3391215086409402,68
Vince Williams Jr.,0.378,0.32726923521897133,69
Eric Gordon,0.378,0.32726923521897133,69
Coby White,0.376,0.3035646883750336,71
Jayson Tatum,0.376,0.3035646883750336,71
Kristaps Porziņģis,0.375,0.29171241495306477,73
Grant Williams,0.375,0.29171241495306477,73
Dennis Schröder,0.375,0.29171241495306477,73
Deni Avdija,0.374,0.2798601415310959,76
Wendell Carter Jr.,0.374,0.2798601415310959,76
Bennedict Mathurin,0.374,0.2798601415310959,76
Bogdan Bogdanović,0.374,0.2798601415310959,76
Evan Mobley,0.373,0.268007868109127,80
Trae Young,0.373,0.268007868109127,80
Brandon Miller,0.373,0.268007868109127,80
Tyrese Maxey,0.373,0.268007868109127,80
Mikal Bridges,0.372,0.25615559468715815,84
Devin Vassell,0.372,0.25615559468715815,84
Darius Garland,0.371,0.2443033212651893,86
John Collins,0.371,0.2443033212651893,86
Chris Paul,0.371,0.2443033212651893,86
Chet Holmgren,0.37,0.23245104784322043,89
De'Aaron Fox,0.369,0.22059877442125156,90
Donovan Mitchell,0.368,0.2087465009992827,91
Austin Reaves,0.367,0.19689422757731384,92
Brook Lopez,0.366,0.185041954155345,93
Cam Thomas,0.364,0.16133740731140725,94
Tyrese Haliburton,0.364,0.16133740731140725,94
Devin Booker,0.364,0.16133740731140725,94
Terry Rozier,0.363,0.1494851338894384,97
Dejounte Murray,0.363,0.1494851338894384,97
Jabari Smith Jr.,0.363,0.1494851338894384,97
RJ Barrett,0.36,0.11392831362353181,100
De'Anthony Melton,0.36,0.11392831362353181,100
Nikola Jokić,0.359,0.10207604020156295,102
Dillon Brooks,0.359,0.10207604020156295,102
Andrew Wiggins,0.358,0.0902237667795941,104
Myles Turner,0.358,0.0902237667795941,104
Keegan Murray,0.358,0.0902237667795941,104
GG Jackson,0.357,0.07837149335762522,107
Bam Adebayo,0.357,0.07837149335762522,107
Anthony Edwards,0.357,0.07837149335762522,107
LaMelo Ball,0.355,0.0546669465136875,110
Brandon Ingram,0.355,0.0546669465136875,110
Cade Cunningham,0.355,0.0546669465136875,110
Jalen Johnson,0.355,0.0546669465136875,110
Damian Lillard,0.354,0.04281467309171864,114
Jaylen Brown,0.354,0.04281467309171864,114
Shai Gilgeous-Alexander,0.353,0.030962399669749778,116
Tim Hardaway Jr.,0.353,0.030962399669749778,116
Tobias Harris,0.353,0.030962399669749778,116
Max Strus,0.351,0.007257852825812053,119
Malik Monk,0.35,-0.004594420596156809,120
Santi Aldama,0.349,-0.016446694018125672,121
Caleb Martin,0.349,-0.016446694018125672,121
Miles Bridges,0.349,-0.016446694018125672,121
Zach LaVine,0.349,-0.016446694018125672,121
Dorian Finney-Smith,0.348,-0.02829896744009453,125
Josh Richardson,0.347,-0.0401512408620634,126
Pascal Siakam,0.346,-0.05200351428403226,127
Keldon Johnson,0.346,-0.05200351428403226,127
Bilal Coulibaly,0.346,-0.05200351428403226,127
Scottie Barnes,0.341,-0.11126488139387591,130
Paolo Banchero,0.339,-0.13496942823781363,131
Josh Giddey,0.337,-0.15867397508175135,132
Jaden McDaniels,0.337,-0.15867397508175135,132
Spencer Dinwiddie,0.337,-0.15867397508175135,132
Kyle Kuzma,0.336,-0.17052624850372022,135
Jaden Ivey,0.336,-0.17052624850372022,135
Tre Jones,0.335,-0.18237852192568907,137
Keyonte George,0.334,-0.19423079534765794,138
Onyeka Okongwu,0.333,-0.20608306876962681,139
DeMar DeRozan,0.333,-0.20608306876962681,139
Isaiah Hartenstein,0.333,-0.20608306876962681,139
Shaedon Sharpe,0.333,-0.20608306876962681,139
Zion Williamson,0.333,-0.20608306876962681,139
Jalen Green,0.332,-0.21793534219159566,144
Jordan Poole,0.326,-0.28904898272340884,145
Caris LeVert,0.325,-0.3009012561453777,146
Victor Wembanyama,0.325,-0.3009012561453777,146
Scoot Henderson,0.325,-0.3009012561453777,146
Bruce Brown,0.323,-0.3246058029893154,149
Jaime Jaquez Jr.,0.322,-0.3364580764112843,150
Jonathan Kuminga,0.321,-0.34831034983325315,151
Jaren Jackson Jr.,0.32,-0.360162623255222,152
P.J. Washington,0.32,-0.360162623255222,152
Saddiq Bey,0.316,-0.40757171694309746,154
Cody Martin,0.314,-0.4312762637870352,155
Marcus Smart,0.313,-0.443128537209004,156
Kelly Oubre Jr.,0.311,-0.46683308405294177,157
Julius Randle,0.311,-0.46683308405294177,157
Josh Hart,0.31,-0.47868535747491064,159
Jeremy Sochan,0.308,-0.5023899043188483,160
Alperen Sengun,0.297,-0.6327649119605059,161
Nikola Vučević,0.294,-0.6683217322264124,162
Jordan Clarkson,0.294,-0.6683217322264124,162
Aaron Gordon,0.29,-0.7157308259142878,164
Franz Wagner,0.281,-0.822401286712007,165
Giannis Antetokounmpo,0.274,-0.905367200665789,166
Anthony Davis,0.271,-0.9409240209316956,167
Jusuf Nurkić,0.244,-1.2609354033248548,168
Nic Claxton,0.2,-1.782435433891484,169
Ausar Thompson,0.186,-1.9483672617990482,170
Deandre Ayton,0.1,-2.967662776088369,171
