PlayerName,Points,Points_ZScore,Points_Rank
Shai Gilgeous-Alexander,32.7,2.8857822331259966,1
Giannis Antetokounmpo,30.4,2.4745226591411105,2
Nikola Jokić,29.6,2.331475850798542,3
Luka Dončić,28.2,2.081143936199046,4
Anthony Edwards,27.6,1.9738588299421198,5
Jayson Tatum,26.8,1.8308120215995507,6
Kevin Durant,26.6,1.7950503195139087,7
Tyrese Maxey,26.3,1.741407766385445,8
Cade Cunningham,26.1,1.705646064299803,9
Jalen Brunson,26.0,1.6877652132569816,10
Paolo Banchero,25.9,1.6698843622141604,11
Devin Booker,25.6,1.6162418090856974,12
LaMelo Ball,25.2,1.5447184049144127,13
Damian Lillard,24.9,1.4910758517859493,14
Kyrie Irving,24.7,1.455314149700307,15
Anthony Davis,24.7,1.455314149700307,15
Zion Williamson,24.6,1.4374332986574863,17
Stephen Curry,24.5,1.419552447614665,18
LeBron James,24.4,1.4016715965718436,19
Karl-Anthony Towns,24.4,1.4016715965718436,19
Victor Wembanyama,24.3,1.3837907455290228,21
Franz Wagner,24.2,1.3659098944862016,22
Trae Young,24.2,1.3659098944862016,22
Cam Thomas,24.0,1.3301481924005594,24
Donovan Mitchell,24.0,1.3301481924005594,24
Tyler Herro,23.9,1.3122673413577381,26
De'Aaron Fox,23.5,1.240743937186454,27
Zach LaVine,23.3,1.2049822351008117,28
Ja Morant,23.2,1.1871013840579905,29
James Harden,22.8,1.1155779798867063,30
Jaren Jackson Jr.,22.2,1.0082928736297794,31
DeMar DeRozan,22.2,1.0082928736297794,31
Jaylen Brown,22.2,1.0082928736297794,31
Norman Powell,21.8,0.9367694694584952,34
Jalen Williams,21.6,0.901007767372853,35
Kawhi Leonard,21.5,0.8831269163300316,36
Jamal Murray,21.4,0.8652460652872103,37
Trey Murphy III,21.2,0.8294843632015682,38
RJ Barrett,21.1,0.8116035121587475,39
CJ McCollum,21.1,0.8116035121587475,39
Jalen Green,21.0,0.793722661115926,41
Brandon Miller,21.0,0.793722661115926,41
Darius Garland,20.6,0.7221992569446419,43
Jordan Poole,20.5,0.7043184059018205,44
Coby White,20.4,0.6864375548589992,45
Miles Bridges,20.3,0.6685567038161784,46
